Запрос,Частотность в мес.,Частотность в нед.,"Изменение мес/мес, %","Изменение нед/нед, %",Приоритетная категория,1 место,2 место,3 место,4 место,5 место,"Объем продаж категории, руб"
комплект нижнего белья,497 737,,,,(ID) 165 - Комплект белья,1366,1366,1366,1366,1366,
куртка мужская,496 511
nike кроссовки,493 257
брюки карго,492 661,,,,(ID) 11 - Брюки,1602,1602,1602,1602,1602,
постельное белье 1.5,491 158,,,,(ID) 197 - Постельное белье,424,424,424,424,424,
жилетка мужская,489 797,,,,(ID) 156 - Жилет,1133,1133,1133,1133,1133,
часы,489 141,,,,(ID) 787 - Смарт-часы,356,356,356,356,356,
тени для век,487 751,,,,(ID) 346 - Тени Для Век,350,350,350,350,350,
кеды мужские,486 986,,,,(ID) 104 - Кеды Мужские,463,463,463,463,463,
часы мужские,486 793
босоножки,486 109,,,,(ID) 93 - Босоножки,383,383,383,383,383,
шоппер,485 060,,,,(ID) 2318 - Сумка хозяйственная,392,392,392,392,392,
трусы женские набор,484 784,,,,(ID) 133 - Трусы,2061,2061,2061,2061,2061,
часы женские,480 399,,,,(ID) 60 - Часы наручные,515,515,515,515,515,
обувь женская весна,478 876,,,,(ID) 105 - Кроссовки,279,279,279,279,279,
шапка женская весна,478 297,,,,(ID) 82 - Шапка,995,995,995,995,995,
гель для стирки,475 783,,,,(ID) 1080 - Гель для стирки,1529,1529,1529,1529,1529,
платья женские,475 603,,,,(ID) 69 - Платье,822,822,822,822,822,
туника женская,475 467,,,,(ID) 150 - Туника Женская,856,856,856,856,856,
твое женское,475 422
сухой шампунь,474 900,,,,(ID) 1661 - Сухой Шампунь,672,672,672,672,672,
леггинсы,470 296,,,,(ID) 148 - Леггинсы,1039,1039,1039,1039,1039,
туфли женские на каблуке,468 643,,,,(ID) 100 - Туфли,504,504,504,504,504,
ikea,467 532
светодиодная лента,466 477,,,,(ID) 3534 - Светодиодная Лента,510,510,510,510,510,
фонарик,465 629,,,,(ID) 504 - Фонарь спортивный,3188,3188,3188,3188,3188,
футболка для мальчика,464 068,,,,(ID) 192 - Футболка Для Мальчика,633,633,633,633,633,
стулья для кухни,463 480,,,,(ID) 1714 - Стул,1173,1173,1173,1173,1173,
крабик для волос,463 393,,,,(ID) 1853 - Краб,766,766,766,766,766,
пудра для лица,462 432,,,,(ID) 352 - Пудра,387,387,387,387,387,
органайзер,462 271,,,,(ID) 3734 - Органайзер для косметики,250,250,250,250,250,
пасха,461 045,,,,(ID) 3407 - Орехи в глазури,141,141,141,141,141,
сумка багет,460 333,,,,(ID) 50 - Сумка,712,712,712,712,712,
puma,460 223
бюстгальтер,459 814,,,,(ID) 76 - Бюстгальтер,1000,1000,1000,1000,1000,
зубная паста,455 987,,,,(ID) 438 - Зубная Паста,1700,1700,1700,1700,1700,
пенал,454 845,,,,(ID) 311 - Пенал,291,291,291,291,291,
комод,454 680,,,,(ID) 1503 - Комод,201,201,201,201,201,
планшет,453 326,,,,(ID) 517 - Планшет,144,144,144,144,144,
плащ женский,452 955,,,,(ID) 171 - Плащ Женский,1194,1194,1194,1194,1194,
кожаная куртка женская,452 217,,,,(ID) 2110 - Косуха,1856,1856,1856,1856,1856,
vivienne sabo,450 627
тапочки женские,450 067,,,,(ID) 106 - Тапочки Женские,1124,1124,1124,1124,1124,
платье летнее женское,448 906,,,,(ID) 69 - Платье,969,969,969,969,969,
накладные ногти,447 257,,,,(ID) 456 - Накладные Ногти,351,351,351,351,351,
бутылка для воды,446 190,,,,(ID) 384 - Бутылка для воды,657,657,657,657,657,
iphone 11,446 175
